"conditions.gener.","conditions.ens.","conditions.rech.","conditions.admin.","conditions.relmem.","conditions.relaut.","conditions.carri.","conditions.remun.","conditions.equil.","evolution.gener.","evolution.ens.","evolution.rech.","evolution.admin.","evolution.relmem.","evolution.relaut.","evolution.carri.","evolution.remun.","evolution.equil.","optimisme.gener.","optimisme.ens.","optimisme.rech.","optimisme.admin.","optimisme.relmem.","optimisme.relaut.","optimisme.carri.","optimisme.remun.","optimisme.equil.","confiance.Etat.","confiance.MESRI.","confiance.ParitairesNat.","confiance.CNU.","confiance.CoNRS.","confiance.ANR.","confiance.HCERES.","confiance.ONR.","confiance.FU.","confiance.UDICE.","confiance.AUREF.","confiance.Territoire.","confiance.Presidences.","confiance.Conseils.","confiance.ParitairesLocales.","confiance.Dircomp.","PCinquietude.clim.","PCinquietude.eco.","PCinquietude.diplo.","PCinquietude.pol.","PCimpact.clim.","PCimpact.eco.","PCimpact.diplo.","PCimpact.pol.","PCeffort.clim.","PCeffort.eco.","PCeffort.diplo.","PCeffort.pol.","socle.satisfaction.","socle.bonheur.","socle.sens.","socle.valo.","socle.capretraite.","socle.souretraite.","socle.confiance.","sexe","age","anciennete","metier","discipline","categorie","statut","responsabilites"
"0 - Pas du tout satisfaisantes",NA,"0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","10 - Tout à fait","2","6","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5 - Neutre","5 - Neutre","2","0 - Pas du tout","0 - Pas du tout","1",NA,"Féminin","De 35 à 44 ans","De 5 à 9 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Vacataire ou précaire","Aucune de ces responsabilités"
"3","2","3","1","5","5","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","2","2","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","5 - Stable","5 - Stable","0 - Rapide dégradation","0 - Rapide dégradation","2","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","6","2","2","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","1","0 - Pas du tout","0 - Pas du tout","2","2","7","8","9","10 - Tout à fait","7","4","4","9","1","3","3","0 - Pas du tout","3","6","6","1","2","0 - Pas du tout","7","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"1","1","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","1","0 - Pas du tout satisfaisantes","4","3","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","1","0 - Rapide dégradation","1","1","1","7","4","0 - Rapide dégradation","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","2","2","0 - Sans espoir","1","1","0 - Pas du tout","9","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","Ne connais pas","1","8","1","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","5","2","2","1","10 - Tout à fait","1","4","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5 - Neutre","5 - Neutre","10 - Totalement",NA,"10 - Totalement","8","7","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","DEG - Droit, Economie, Gestion","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"3",NA,"5","4","4","5","4","0 - Pas du tout satisfaisantes","1","1",NA,"3",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"0 - Pas du tout","0 - Pas du tout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 - Tout à fait","10 - Tout à fait","9","5","10 - Tout à fait","10 - Tout à fait","5","10 - Tout à fait","7","2","2","2","7","6","6","6","0 - Pas du tout","4","7","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Sous contrat CDI","Aucune de ces responsabilités"
"0 - Pas du tout satisfaisantes","1","0 - Pas du tout satisfaisantes","1","5","6","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","5 - Stable","2","2","2","4","4","0 - Rapide dégradation","2","0 - Rapide dégradation","0 - Sans espoir","1","0 - Sans espoir","0 - Sans espoir","5 - Neutre","2","1","1","1","0 - Pas du tout","0 - Pas du tout",NA,"0 - Pas du tout","5","1","0 - Pas du tout","5","0 - Pas du tout","Ne connais pas","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5","6","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","5","10 - Tout à fait","5","8","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","6","6","5 - Neutre","6","7","6","9","Masculin","De 25 à 34 ans","De 5 à 9 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Vacataire ou précaire","Membre d'un conseil de composante ou laboratoire"
"3","5","3","4","7","6","2","2","2","2","3","3","3","5 - Stable","5 - Stable","3","3","3","3","5 - Neutre","4","6","7","7","3","3","3","3","3","8","4","3","5","4","6","Ne connais pas","0 - Pas du tout","Ne connais pas","7","3","2",NA,"6","10 - Tout à fait","8","8","10 - Tout à fait","4","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","4","2",NA,"3","5 - Neutre","7","8","6","4","4","8","Féminin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Sous contrat CDD","Membre d'un conseil de composante ou laboratoire"
"5",NA,"5","3","4","5","6","6","8","5 - Stable",NA,"4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","6","5 - Stable","5 - Neutre","4","3","4","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","2","4","Ne connais pas",NA,NA,"0 - Pas du tout",NA,"4",NA,"Ne connais pas","Ne connais pas","3","4","4","4","6","9","7","7","6","4","10 - Tout à fait","3","10 - Tout à fait","8","6",NA,"6","7","7","7","7","7","9","5 - Neutre","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Sous contrat CDI","Aucune de ces responsabilités"
"3","5","3","3","3","3","0 - Pas du tout satisfaisantes","3","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","5 - Stable","5 - Stable","5 - Stable","5 - Stable","0 - Rapide dégradation","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","Ne connais pas","8","Ne connais pas","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","5","5","5","5","10 - Totalement","10 - Tout à fait","3","3","10 - Tout à fait","10 - Tout à fait","5","5","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5 - Neutre","5 - Neutre","5 - Neutre","0 - Pas du tout","5 - Neutre","8","Masculin","De 55 à 64 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","DEG - Droit, Economie, Gestion","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"4","8","2","4","6","3","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","6","8","3","9","8","5","9","2","3","3","5 - Stable","1","5 - Stable","3","5 - Stable","5 - Stable","5 - Stable","2","2","2","0 - Sans espoir","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","0 - Sans espoir","1","1","Ne connais pas","6","Ne connais pas","1","1","4","Ne connais pas","Ne connais pas","4","5","3","3","4","6","10 - Tout à fait","5","5","5","5","5","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","5","7","2","5",NA,"3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","8","7","7","7","7","3","5","4","5 - Stable","4","6","6","6","6","2","3","2","3","3","3","5 - Neutre","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5","5","Ne connais pas","5","Ne connais pas","5","5","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","5","Ne connais pas","Ne connais pas","Ne connais pas","8","10 - Tout à fait","7","8","10 - Tout à fait","8","8","7","10 - Tout à fait","8","5","5","7","4","3","3","3","0 - Pas du tout","2","5 - Neutre","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"6","7","8","6","7","8","3","3","3","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","7","5 - Neutre","5 - Neutre","7","8","8","2","2","5 - Neutre",NA,NA,"Ne connais pas","Ne connais pas","Ne connais pas",NA,NA,NA,"Ne connais pas","Ne connais pas","Ne connais pas",NA,NA,NA,"Ne connais pas","7","9","8","4","8","2","10 - Tout à fait","0 - Pas du tout","10 - Tout à fait","3","3","3","3","8","8","9","5 - Neutre","7","5 - Neutre","5 - Neutre","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"6","5","7","5","8","6","7","7","5","5 - Stable","5 - Stable","4","6","5 - Stable","7","6","5 - Stable","4","5 - Neutre","4","6","4","8","7","8","4","3","1","3","Ne connais pas","Ne connais pas","7","5","5","7","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","2","6","Ne connais pas","8","8","6","4","6","5","7","4","3","6","6","4","4","6","8","7","8","3","5 - Neutre","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7","7","7","6","8","7","7","4","5","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","4","5 - Neutre","3","6","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","3","4","5","7","5","4","4","4","4","4","4","6","5","6","5","8","10 - Tout à fait","8","8","9","8","8","8","8","6","5","6","5","7","8","8","6","10 - Totalement","9","8","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"3","3","4","3","4","4","5","6","2","3","3","3","3","3","3","5 - Stable","5 - Stable","1","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","4","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","4",NA,"3","4","Ne connais pas",NA,NA,NA,NA,"Ne connais pas","1","4","5","5","5","5","7","7","10 - Tout à fait","7","10 - Tout à fait",NA,NA,NA,NA,"3","3","3","1","0 - Pas du tout","0 - Pas du tout",NA,"Féminin",NA,"De 10 à 19 ans","Personnel d'enseignement","DEG - Droit, Economie, Gestion","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'un conseil central d'établissement (CA, CR, CFVU...)"
"3","3","1","4","4","2","2","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","5","9","Ne connais pas","0 - Pas du tout",NA,"0 - Pas du tout",NA,"0 - Pas du tout","Ne connais pas","3","1","2","2","3","5","10 - Tout à fait","5","10 - Tout à fait","6","10 - Tout à fait","2","10 - Tout à fait","8","0 - Pas du tout","5","0 - Pas du tout","2","5 - Neutre","1","1","2","2","5 - Neutre","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"3","4","2","0 - Pas du tout satisfaisantes","7","2","0 - Pas du tout satisfaisantes","2","3","1","2","2","0 - Rapide dégradation","5 - Stable","5 - Stable","5 - Stable","5 - Stable","2","1","1","1","1","3","1","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10 - Tout à fait satisfaisantes",NA,"7","5","9",NA,"1","7","0 - Pas du tout satisfaisantes",NA,NA,NA,NA,NA,NA,"2",NA,NA,"5 - Neutre",NA,"5 - Neutre","3","5 - Neutre","5 - Neutre","0 - Sans espoir","5 - Neutre","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","6",NA,"Ne connais pas","8","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","3","3","0 - Pas du tout","0 - Pas du tout","5",NA,NA,NA,"5 - Neutre","8","10 - Totalement","7","10 - Totalement","10 - Totalement","5 - Neutre","Féminin","De 35 à 44 ans","De 10 à 19 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"3","2","2","2","1","1","2","3","2","2","1","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","1","2","2","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","1","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","3","10 - Tout à fait","7","10 - Tout à fait","7","10 - Tout à fait","10 - Tout à fait","2","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","5","0 - Pas du tout","5 - Neutre","5 - Neutre","6","4","3","2","0 - Pas du tout","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel d'enseignement","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"6","8","7","5","7","7","6","7","7","5 - Stable","5 - Stable","5 - Stable","3","4","5 - Stable","4","4","6","2","2","2","0 - Sans espoir","6","6","3","1","7","0 - Pas du tout","3","Ne connais pas","6","5","5","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","Ne connais pas","5","5","3","Ne connais pas","9","10 - Tout à fait","8","8","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","5","5",NA,"5","8","8","8","5 - Neutre","2","5 - Neutre","8","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"0 - Pas du tout satisfaisantes","4","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","5","5","3","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","3","0 - Rapide dégradation","1","2","3","5 - Stable","0 - Rapide dégradation","3","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","10 - Totalement","10 - Totalement",NA,"1","1","5","5","2",NA,"Ne connais pas","Ne connais pas","7","9","5","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","8","9","7","10 - Tout à fait","7","6","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout",NA,"10 - Totalement","3","4","10 - Totalement",NA,"Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"7","7","6","8","9","9","5","1","7","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","3","5 - Stable","5 - Stable","3","2","1","5 - Neutre","5 - Neutre","5 - Neutre","1","4","5 - Neutre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","8","6","5","7","7","1","5","6","5 - Stable","5 - Stable","3","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","3","3","3","3","3","3","3","3","5 - Neutre","5","0 - Pas du tout","Ne connais pas","8","5","5","0 - Pas du tout","5","Ne connais pas","0 - Pas du tout","Ne connais pas","3","1","1","3","5","5","5","5","5","7","7","9","0 - Pas du tout","4","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","8","8","8","6","7","9","7","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'un conseil central d'établissement (CA, CR, CFVU...)"
"5","4","0 - Pas du tout satisfaisantes","2","2","3","2","1","1","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","1","0 - Rapide dégradation","2","0 - Rapide dégradation","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","3","0 - Pas du tout","0 - Pas du tout","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","9","10 - Totalement","10 - Totalement","0 - Pas du tout","2","10 - Totalement","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Sous contrat CDI","Responsable pédagogique"
"8",NA,"8","7","9","9","5","9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 - Neutre","3","2","2","8","8","3","5 - Neutre","5 - Neutre","2","2","7","6","7","2","3","5",NA,NA,NA,"6","4","6","7","8","9","7","8","8","5","9","7","10 - Tout à fait","7",NA,NA,"2","9","8","7","6","10 - Totalement","9","7","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","Santé","MCF, CR, PRAG, PRCE ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"5","5","4","1","7","1","4","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","8","3","1","7","5","7","8","3","3","4","2","1","3","3","5 - Stable","5 - Stable","5 - Stable","2","3","2","1","1","1","5 - Neutre","5 - Neutre","5 - Neutre","0 - Pas du tout","0 - Pas du tout","5","7","5","1","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","4","4","4","8","10 - Tout à fait","9","8","10 - Tout à fait","8","8","5","8","4","3","3","5","8","9","8","4","4","7","7","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"5","8","6","4","8","8","7","4","4","4","5 - Stable","5 - Stable","4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","2","2","2","2","5 - Neutre","5 - Neutre","6","2","2","0 - Pas du tout","0 - Pas du tout","2","7","7","5","0 - Pas du tout","5","2","Ne connais pas","1","4","7","6",NA,NA,"2","2","4","8","5","5","5","8",NA,NA,NA,NA,"7","7","8","5 - Neutre","8","8","5 - Neutre","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une présidence ou d'une direction d'établissement"
"6","7",NA,"2","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","2","6","5 - Stable","5 - Stable",NA,"2","0 - Rapide dégradation","5 - Stable","5 - Stable","2","3","5 - Neutre","5 - Neutre",NA,"2","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","1","5 - Neutre","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","1","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","9","3","8","8","8","10 - Tout à fait","2","6","0 - Pas du tout","9","5","0 - Pas du tout","3","0 - Pas du tout","7","7","6","2","7","4","5 - Neutre","Féminin","De 55 à 64 ans","De 5 à 9 ans","Personnel d'enseignement","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"1","4","1","5","3","5","6","2","2","2","5 - Stable","2","5 - Stable","3","5 - Stable","6","2","1","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","7","7","7","7","6","2","2","Ne connais pas","2","Ne connais pas","2","5","2","2","Ne connais pas","Ne connais pas","1","1","2","2","5","9","9","9","9","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait",NA,NA,NA,NA,"2","2","10 - Totalement","2","10 - Totalement","10 - Totalement","5 - Neutre","Féminin","De 35 à 44 ans","De 10 à 19 ans",NA,"LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Vacataire ou précaire","Aucune de ces responsabilités"
"3","3","2","2","5","4","3","3","0 - Pas du tout satisfaisantes","3","5 - Stable","4","2","4","4","5 - Stable","6","5 - Stable","1","1","1","1","6","6","0 - Sans espoir","4","1","0 - Pas du tout","0 - Pas du tout","4","9","Ne connais pas",NA,"0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","0 - Pas du tout","1","5","8","10 - Totalement","9","5","7","8","6","1","6","8","1",NA,"5","3","7","10 - Totalement","10 - Totalement","5 - Neutre","0 - Pas du tout","10 - Totalement","9","Féminin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
